ProjectID,Programming Language,Employee1,Employee2,Employee3,Employee4,Award,Currency
487523544-5,JAVA,1,0,0,0,140.95,USD
788730400-8,C++,1,2,2,2,202.40,Euro
275726848-1,C++,0,1,2,2,134.79,USD
938157686-6,JAVA,1,0,2,0,271.59,Euro
998972643-4,Python,1,2,1,1,108.56,Euro
923065534-1,R,0,0,1,2,121.04,USD
628100519-8,PYTHON,2,2,2,2,338.74,JOD
466487924-5,Python,1,2,1,2,490.05,JOD
341763149-1,JAVA,0,0,0,0,184.68,JOD
766631537-6,R,2,1,1,1,115.41,USD
893121906-7,PYTHON,1,0,2,0,303.87,JOD
407540201-0,R,0,0,0,0,133.21,Euro
314448373-7,c++,2,1,1,0,432.03,USD
016927156-0,R,2,1,0,0,134.43,USD
052262027-2,PYTHON,1,1,2,1,444.47,JOD
445225409-8,JAVA,1,0,1,2,391.79,USD
348173903-6,Python,0,0,1,1,188.68,Euro
470391942-7,PYTHON,2,1,0,2,352.61,Euro
090478113-5,java,2,1,1,2,174.30,JOD
341629157-3,PYTHON,1,2,1,2,154.00,USD
261892410-X,JAVA,2,0,1,2,353.63,Euro
554161941-6,C++,0,1,1,2,477.28,USD
195501749-2,Python,1,0,1,1,365.59,Euro
981565730-5,C++,1,2,0,2,159.67,JOD
685696199-5,PYTHON,0,1,0,1,186.93,USD
681527883-2,java,1,0,1,0,140.09,USD
184357278-8,Python,1,,1,1,206.91,JOD
715399109-3,c++,0,0,1,0,115.06,JOD
741342374-X,Python,2,2,0,2,121.43,USD
395955549-0,C++,1,1,2,1,317.84,USD
929575142-6,JAVA,1,0,2,0,484.31,USD
653731402-X,java,2,1,2,0,197.81,Euro
304656128-8,C++,1,2,1,1,366.02,USD
699457829-1,java,2,1,2,2,404.26,Euro
665766203-3,c++,0,1,0,0,249.01,Euro
426725092-8,PYTHON,1,1,0,2,112.84,Euro
680776964-4,C++,1,2,2,2,300.09,Euro
842433718-2,PYTHON,1,1,0,1,257.98,JOD
798079325-0,C++,1,1,2,2,445.65,USD
070023073-4,JAVA,0,2,0,0,199.96,Euro
148406305-8,Python,0,1,2,1,186.46,USD
492648221-5,C++,1,0,1,1,218.77,JOD
798399751-5,PYTHON,2,2,0,1,469.88,JOD
010889023-6,C++,2,2,1,0,153.10,JOD
605514727-0,JAVA,0,2,2,0,157.80,JOD
258707886-5,C++,0,2,0,1,449.92,JOD
064702193-5,R,2,2,0,1,209.37,USD
465807637-3,Python,2,2,2,0,300.56,USD
698591031-9,c++,0,1,2,1,262.12,JOD
854456587-5,C++,0,2,0,2,437.47,JOD
524168811-0,java,1,1,1,0,151.26,USD
807317241-0,PYTHON,0,0,1,1,322.67,Euro
512772155-4,PYTHON,0,2,2,0,316.22,USD
379813975-X,C++,2,0,2,0,183.79,JOD
809672737-0,c++,0,1,0,2,367.44,JOD
920708784-7,c++,0,0,2,2,102.42,Euro
257927373-5,Python,1,2,2,0,477.83,USD
235434947-5,JAVA,2,0,2,0,379.15,USD
206326746-4,PYTHON,2,1,2,1,224.09,Euro
895251834-9,R,1,2,2,2,490.57,JOD
935780763-2,R,0,2,2,2,265.34,Euro
633994367-5,PYTHON,0,1,1,0,106.93,Euro
556622350-8,R,0,2,0,0,290.96,JOD
744575132-7,java,1,0,0,1,273.43,JOD
111366839-3,C++,1,2,1,0,262.40,Euro
387158190-9,R,1,1,1,0,172.82,USD
375224473-9,R,2,2,2,1,408.75,JOD
765059700-8,java,2,0,0,1,196.48,Euro
639347876-4,java,0,1,1,0,299.63,USD
055988150-9,PYTHON,1,2,2,2,351.85,JOD
327138588-2,,0,0,0,2,182.81,Euro
847254255-6,PYTHON,2,0,2,2,318.59,JOD
635343348-4,java,1,2,1,1,398.66,USD
392448137-7,JAVA,0,1,1,0,430.58,JOD
146792348-6,R,0,1,2,1,208.25,Euro
891155516-9,C++,2,1,1,0,202.87,JOD
916988918-X,PYTHON,0,0,1,2,353.14,USD
889295602-7,java,0,0,0,2,441.16,USD
738105107-9,java,0,2,0,1,468.87,JOD
819215513-7,JAVA,1,0,2,2,318.59,JOD
389866559-3,R,2,1,2,1,479.41,Euro
607268812-8,R,2,0,2,0,288.84,JOD
261193801-6,Python,0,1,0,2,399.88,Euro
792264658-5,java,0,0,1,0,308.11,Euro
409012057-8,C++,1,2,1,2,387.92,USD
328655088-4,R,2,2,2,0,181.45,USD
264283588-X,c++,1,2,2,1,399.99,USD
914343770-2,,2,2,1,0,237.43,JOD
316980408-1,R,2,0,2,1,429.05,USD
990593968-7,Python,2,1,0,2,435.82,Euro
039902432-8,Python,2,0,2,2,297.50,Euro
086196948-0,C++,1,2,2,2,336.31,USD
456723004-3,C++,2,1,2,0,415.12,JOD
388391374-X,java,0,1,2,2,498.54,Euro
037643141-5,c++,2,2,2,2,298.35,USD
891900164-2,java,1,0,2,0,141.22,JOD
150476327-0,R,1,2,0,2,223.16,JOD
583714719-5,c++,0,1,0,0,118.17,USD
411020757-6,C++,1,2,0,1,339.47,JOD
840522091-7,C++,0,2,2,0,208.45,USD
810289540-3,java,2,0,2,0,383.94,Euro
770081706-5,Python,1,2,0,0,217.13,JOD
094130232-6,PYTHON,0,1,1,0,488.52,USD
994465575-9,c++,2,0,1,1,453.03,Euro
792276554-1,java,1,0,0,0,185.56,JOD
619745934-5,PYTHON,0,1,0,2,420.08,USD
054546360-2,c++,2,0,1,1,311.54,JOD
843426017-4,PYTHON,1,1,1,0,265.82,USD
042970860-2,c++,1,2,0,0,463.89,Euro
343843742-2,,0,0,1,1,423.50,USD
858703612-2,Python,1,2,2,0,182.62,USD
622580409-9,C++,2,2,0,2,440.12,USD
052634327-3,R,1,2,0,1,210.20,USD
650472073-8,C++,1,,1,1,258.11,Euro
986221242-X,C++,0,0,0,0,211.86,Euro
084040025-X,Python,2,2,0,2,351.65,Euro
022339930-2,C++,2,2,1,1,275.69,JOD
631717620-5,R,2,2,1,1,260.22,JOD
775175455-9,C++,2,0,0,2,211.99,Euro
469051159-4,JAVA,1,1,2,2,136.67,JOD
864159403-5,C++,0,0,1,0,434.47,USD
822436987-0,JAVA,0,1,0,1,330.73,JOD
543026717-1,JAVA,2,2,2,1,255.50,Euro
018288180-6,java,1,0,1,2,414.62,JOD
640064786-4,C++,0,2,2,2,409.48,USD
786025607-X,R,1,2,0,0,225.90,JOD
726999729-2,c++,1,2,0,0,173.32,USD
656955239-2,JAVA,1,2,1,2,243.33,JOD
713132132-X,JAVA,2,2,2,1,292.98,Euro
825929534-2,R,2,0,0,2,128.56,USD
390493627-1,R,2,2,0,2,155.30,JOD
217366656-8,PYTHON,0,2,2,0,211.46,JOD
436894452-6,JAVA,0,0,2,2,107.93,Euro
206053808-4,Python,1,1,0,2,234.91,USD
857182690-0,C++,1,2,0,1,381.25,Euro
886542122-3,c++,2,2,2,1,446.67,Euro
829410664-X,java,0,0,2,2,407.68,JOD
338963527-0,c++,2,1,2,2,185.60,USD
396389891-7,C++,0,1,2,1,287.06,USD
854512019-2,java,2,,1,1,175.23,JOD
457446173-X,R,0,2,1,2,461.36,Euro
964252742-1,java,2,0,0,1,461.29,JOD
445981887-6,JAVA,2,2,2,2,415.21,Euro
496868507-6,c++,2,2,2,1,148.45,Euro
090306035-3,R,2,2,1,1,110.21,JOD
436749337-7,C++,2,0,2,2,293.66,Euro
963253092-6,PYTHON,1,2,0,0,293.76,Euro
631649639-7,java,2,2,0,0,102.98,JOD
346783102-8,C++,0,2,1,1,194.88,Euro
165774938-X,JAVA,0,2,1,2,220.09,Euro
276791462-9,java,0,2,0,0,343.36,JOD
907951185-4,PYTHON,0,0,2,2,189.18,Euro
891961068-1,java,1,1,0,0,206.03,USD
147180796-7,java,1,2,0,2,106.65,USD
640395338-9,java,1,2,0,1,385.38,Euro
245738973-9,c++,0,1,1,2,305.04,USD
466045446-0,C++,2,1,0,0,434.37,Euro
629800847-0,java,0,0,1,0,411.35,JOD
146413999-7,R,1,,0,1,175.90,JOD
397719584-0,C++,1,2,1,1,190.32,USD
262126811-0,Python,0,2,0,0,499.42,USD
142404304-2,C++,1,2,0,2,363.46,USD
997228326-7,PYTHON,2,0,1,2,405.81,USD
225149193-7,R,0,2,2,2,178.24,USD
457796481-3,JAVA,0,2,1,1,447.27,JOD
827205730-1,c++,2,1,2,0,114.22,JOD
124774096-X,R,0,0,0,0,143.43,USD
771202661-0,Python,2,0,2,1,146.43,Euro
276791211-1,Python,0,0,2,0,198.20,USD
399126296-7,java,2,1,2,2,190.33,USD
308604413-6,R,1,2,2,0,352.87,Euro
558693779-4,PYTHON,2,0,0,1,269.59,JOD
538096247-5,c++,2,2,2,2,340.67,USD
727842275-2,c++,1,0,1,1,296.45,JOD
162177386-8,JAVA,2,0,2,2,475.02,USD
489628003-2,C++,2,0,1,2,136.33,Euro
565889629-0,JAVA,1,1,1,1,118.96,Euro
364443655-X,C++,2,0,0,1,148.43,JOD
784342376-1,PYTHON,0,0,1,0,119.61,Euro
654725061-X,C++,2,2,1,1,221.31,Euro
094931641-5,JAVA,1,0,2,2,344.29,JOD
837802906-9,Python,1,2,2,2,476.19,USD
763566466-2,Python,1,2,2,2,301.95,Euro
037215077-2,Python,1,2,1,2,465.19,USD
837016654-7,JAVA,1,1,1,0,363.57,JOD
730614669-6,Python,2,1,2,1,128.43,JOD
285751154-X,C++,0,0,0,2,494.17,Euro
260881863-3,PYTHON,0,0,1,1,477.96,USD
506772041-7,R,2,0,2,0,324.39,USD
827043727-1,C++,0,1,0,2,216.74,USD
668062810-5,JAVA,0,2,2,2,287.66,USD
164642540-5,c++,2,,1,2,465.32,JOD
572858454-3,R,2,2,0,0,103.49,USD
461495596-7,JAVA,0,1,0,2,123.25,JOD
928366065-X,C++,2,2,0,1,350.50,JOD
102418539-7,Python,0,0,1,0,404.71,USD
592668213-4,PYTHON,0,0,2,1,472.11,USD
118390084-8,java,0,1,0,2,478.38,JOD
315856614-1,java,1,0,0,0,457.91,JOD
916066971-3,C++,1,2,2,1,347.99,USD
417163950-6,java,0,1,1,2,351.30,Euro
050512846-2,Python,1,0,1,0,390.21,JOD
823071777-X,R,2,2,1,1,395.14,USD
569911496-3,PYTHON,1,1,2,1,441.64,Euro
973331389-0,R,2,0,0,0,407.50,JOD
053525242-0,R,1,1,0,2,135.08,USD
399933342-1,JAVA,1,1,1,1,416.88,USD
765710407-4,R,2,2,2,2,244.11,Euro
771691818-4,R,1,2,1,1,392.96,USD
414976273-2,PYTHON,0,2,1,0,367.76,USD
977371781-X,Python,0,2,0,2,203.63,Euro
810476463-2,Python,1,0,2,2,309.78,JOD
498862962-7,PYTHON,0,1,0,0,127.27,USD
824201336-5,PYTHON,0,1,1,0,111.92,JOD
738009046-1,C++,0,1,0,0,446.98,USD
880712058-5,c++,1,1,1,0,323.03,Euro
005911895-4,java,0,1,1,1,255.65,Euro
081968854-1,R,2,0,0,0,304.62,Euro
809605464-3,Python,1,1,0,0,168.79,USD
665412492-8,C++,1,2,0,2,427.29,USD
013408483-7,PYTHON,0,1,1,1,460.07,USD
799249801-1,R,0,0,2,2,215.23,Euro
225457197-4,JAVA,1,0,2,0,277.79,USD
219913435-0,java,1,2,1,1,352.01,USD
060498531-2,JAVA,1,2,0,2,164.73,USD
008194506-X,JAVA,1,0,2,2,162.99,Euro
686166991-1,JAVA,0,0,0,2,287.26,JOD
577496376-4,JAVA,0,0,0,0,483.19,USD
361181078-9,c++,2,1,2,1,320.12,USD
849707243-X,java,0,2,0,2,334.32,Euro
627310968-0,PYTHON,1,1,1,1,145.61,Euro
020277917-3,C++,2,0,0,1,268.58,Euro
100864374-2,Python,2,1,1,2,166.84,USD
302739625-0,c++,1,2,1,2,103.35,JOD
670462457-0,PYTHON,1,2,1,0,319.43,USD
569706565-5,C++,1,0,2,1,301.39,USD
348540253-2,Python,0,,1,1,353.69,USD
981213500-6,C++,0,1,1,1,434.14,JOD
037707724-0,JAVA,1,0,2,0,458.69,Euro
788913946-2,c++,2,,1,2,317.62,JOD
430031235-4,JAVA,0,0,1,1,403.65,Euro
952005810-9,c++,0,0,2,1,386.57,USD
416907144-1,PYTHON,1,1,1,1,270.29,JOD
964562732-X,JAVA,1,,2,2,413.65,JOD
440458222-6,JAVA,1,1,0,1,467.21,JOD
661807157-7,JAVA,0,2,0,2,343.24,USD
771832588-1,Python,2,0,2,2,263.35,USD
644584863-X,PYTHON,2,2,0,2,355.62,USD
245718484-3,C++,2,2,1,1,360.96,USD
637187857-3,java,1,2,2,1,395.93,Euro
132135738-9,PYTHON,2,2,2,2,246.30,Euro
669610170-5,Python,0,2,0,0,229.55,Euro
755758991-2,R,0,0,1,0,316.69,USD
055347468-5,JAVA,0,0,1,1,211.03,JOD
640920722-0,JAVA,2,0,1,1,362.92,Euro
072965765-5,PYTHON,1,2,0,1,357.02,JOD
474639324-9,c++,0,2,1,0,495.97,Euro
668372668-X,R,2,2,0,2,253.18,USD
164072585-7,java,0,2,0,1,137.94,JOD
986726843-1,R,0,0,1,0,138.10,JOD
707841438-1,C++,1,0,2,0,260.75,JOD
082845703-4,c++,1,2,0,1,361.33,Euro
456512202-2,JAVA,0,2,1,2,496.39,JOD
137079030-9,C++,1,2,0,0,350.96,USD
827615748-3,java,2,1,2,0,319.13,JOD
938428413-0,c++,2,1,2,2,389.14,USD
236284264-9,C++,2,2,1,1,172.79,Euro
555097484-3,JAVA,1,2,0,2,227.25,Euro
880981021-X,c++,2,1,0,0,330.41,Euro
271956702-7,java,2,1,2,2,112.96,USD
832524997-8,JAVA,2,2,2,2,175.10,JOD
630304094-2,PYTHON,1,1,1,2,342.44,JOD
542165740-X,Python,0,1,1,1,209.96,Euro
923753327-6,C++,2,1,0,1,181.60,JOD
258782823-6,C++,1,0,2,2,486.30,JOD
518345495-7,JAVA,2,0,2,1,345.50,USD
869658760-X,java,2,1,2,0,312.29,USD
215574574-5,C++,1,0,2,1,488.80,USD
710075822-X,C++,1,0,2,1,151.50,Euro
343826734-9,JAVA,1,0,2,1,306.64,JOD
965692509-2,JAVA,1,0,1,2,495.25,JOD
442708714-0,Python,0,1,1,2,187.28,JOD
025278615-7,c++,1,0,1,1,462.59,USD
768322401-4,java,0,0,0,1,204.05,JOD
988000359-4,PYTHON,0,2,2,0,188.20,USD
810338290-6,R,2,1,2,1,443.11,USD
480440126-1,Python,0,2,2,1,373.37,USD
993889998-6,JAVA,1,2,0,2,455.80,USD
704027292-X,java,1,1,0,0,420.39,JOD
062974278-2,JAVA,1,2,1,0,421.49,USD
004938211-X,c++,0,0,1,1,297.41,USD
646552345-0,C++,0,0,0,2,259.71,USD
221987575-X,R,0,0,0,1,196.55,JOD
963661023-1,JAVA,0,0,0,1,325.51,USD
852279620-3,R,0,2,0,2,329.04,USD
406693331-9,R,0,1,2,0,255.08,Euro
611981314-4,JAVA,1,2,2,0,362.44,Euro
793501560-0,JAVA,2,2,2,0,143.89,JOD
009517403-6,c++,2,2,1,2,344.19,JOD
420462989-X,R,0,2,0,1,198.94,USD
380629207-8,java,0,2,1,1,222.46,JOD
302775263-4,Python,0,,0,1,127.09,USD
791185180-8,Python,0,2,1,2,182.72,USD
999840235-2,java,1,1,0,1,465.12,USD
214783754-7,C++,0,1,0,0,171.48,JOD
684318624-6,JAVA,2,1,0,1,139.67,JOD
677836886-1,java,1,0,2,2,392.26,Euro
393244392-6,PYTHON,2,1,1,2,362.27,USD
130945605-4,C++,2,0,0,1,457.79,USD
482187062-2,R,2,2,2,2,346.28,USD
807186803-5,Python,0,2,1,2,285.99,JOD
051459255-9,java,1,2,2,0,164.53,USD
300977014-6,JAVA,1,1,2,0,228.28,JOD
567303994-8,java,0,0,1,1,155.57,USD
035727240-4,R,0,1,1,2,355.97,Euro
946888789-8,PYTHON,0,0,2,0,242.79,JOD
590134611-4,java,1,2,0,1,255.88,USD
428683478-6,java,2,0,2,0,348.88,JOD
760390223-1,PYTHON,2,2,0,1,478.30,JOD
314435628-X,C++,1,0,2,0,274.89,JOD
524142902-6,R,0,0,1,2,248.83,JOD
530138853-3,java,2,0,1,2,340.23,Euro
306318781-X,java,0,,2,2,157.12,Euro
656813284-5,Python,1,2,0,0,197.77,USD
434433996-7,c++,0,0,2,2,463.02,Euro
573080651-5,c++,0,2,1,0,484.17,Euro
291895534-5,R,2,2,0,2,498.77,USD
112249152-2,PYTHON,1,1,0,0,489.12,USD
018290192-0,C++,2,1,2,2,393.90,Euro
098855145-4,R,0,1,1,0,358.92,Euro
983612458-6,Python,1,1,1,2,245.10,JOD
713123566-0,c++,2,2,1,1,314.94,USD
735380314-2,JAVA,0,2,0,1,449.28,USD
922607251-5,JAVA,2,2,0,0,224.79,Euro
156124162-8,Python,2,2,1,2,152.84,USD
138503548-X,c++,0,0,0,2,200.16,USD
568863139-2,Python,0,0,0,1,122.26,USD
871983506-X,java,0,2,1,1,272.81,JOD
042821158-5,java,0,0,2,2,226.88,Euro
634778920-5,Python,1,1,0,2,288.85,JOD
047340178-9,java,2,1,2,0,379.52,USD
967871492-2,R,1,2,2,0,190.73,USD
487687145-0,JAVA,0,0,0,2,223.59,Euro
507668885-7,PYTHON,1,2,1,0,366.18,USD
223136689-4,PYTHON,2,1,2,0,263.17,USD
071803290-X,C++,2,,1,1,365.32,USD
973219652-1,R,2,0,0,1,161.45,JOD
737426548-4,R,2,0,1,0,472.26,USD
528219003-6,java,1,1,0,2,158.18,Euro
208747147-9,PYTHON,1,0,2,1,168.84,JOD
122952689-7,Python,0,1,0,1,282.06,Euro
310348463-1,C++,1,2,1,1,314.24,Euro
906213587-0,PYTHON,2,1,1,2,332.48,JOD
765734041-X,R,1,1,0,2,388.68,USD
676681112-9,Python,2,0,1,1,311.97,Euro
125463063-5,c++,1,0,1,0,459.42,JOD
940513990-8,JAVA,0,0,2,0,364.35,USD
444997983-4,R,0,2,0,2,384.79,JOD
706864214-4,C++,1,0,2,2,304.38,JOD
764190424-6,PYTHON,1,2,0,2,379.08,USD
799805693-2,Python,2,2,0,0,390.44,JOD
672318277-4,C++,0,2,1,0,157.13,Euro
720702413-4,java,0,2,0,1,419.92,USD
910426334-0,java,2,1,2,0,236.34,JOD
738748938-6,Python,0,1,0,1,472.85,Euro
794387760-8,C++,1,0,0,0,150.88,JOD
664308543-8,java,1,1,2,0,288.23,USD
268831671-0,JAVA,2,1,0,2,149.99,Euro
606832724-8,C++,2,0,0,2,266.92,Euro
302877481-X,R,1,0,0,0,285.58,Euro
656923663-6,R,0,0,2,0,356.72,JOD
162341247-1,c++,1,1,0,0,216.64,USD
746703801-1,JAVA,0,1,0,0,241.72,Euro
675444016-3,c++,2,0,2,2,303.24,JOD
995052233-1,Python,2,0,2,0,288.73,Euro
293985461-0,JAVA,0,2,2,1,457.80,JOD
726277981-8,c++,0,2,2,1,230.42,USD
003519496-0,C++,2,0,2,0,391.56,Euro
682251185-7,C++,2,0,2,1,463.93,JOD
013610851-2,C++,0,0,0,1,377.57,JOD
852358323-8,c++,2,0,0,1,359.21,Euro
481849080-6,c++,2,0,1,0,361.76,JOD
884086992-1,PYTHON,2,0,0,0,103.39,USD
770175275-7,JAVA,1,0,0,1,151.03,Euro
521525080-4,PYTHON,0,0,2,2,150.34,Euro
009225087-4,Python,2,2,0,2,304.94,JOD
720600124-6,java,1,2,0,0,101.88,JOD
102348237-1,JAVA,1,2,0,2,403.91,Euro
196840605-0,PYTHON,2,0,1,2,178.31,USD
286493069-2,C++,0,0,0,1,415.72,JOD
974583992-2,c++,1,2,1,2,346.20,Euro
764733355-0,PYTHON,0,2,1,1,202.42,JOD
995854051-7,JAVA,2,1,0,2,184.91,USD
916280201-1,JAVA,1,1,2,0,247.55,USD
445933684-7,JAVA,0,2,2,0,217.93,JOD
175896032-9,R,0,2,0,1,446.51,JOD
100530968-X,java,0,1,0,1,182.82,Euro
551123905-4,C++,2,2,1,0,203.82,USD
148054628-3,C++,2,0,1,1,224.93,Euro
198407667-1,C++,1,0,0,0,421.30,Euro
488207541-5,PYTHON,2,1,1,1,114.09,Euro
959648162-2,C++,1,0,1,1,167.07,USD
247328317-6,R,2,0,1,0,204.85,USD
668012915-X,PYTHON,2,1,1,1,324.02,Euro
354940076-4,Python,2,0,0,1,447.69,Euro
726756800-9,C++,1,1,2,2,263.87,Euro
110664845-5,R,1,0,2,2,452.30,USD
528272420-0,PYTHON,0,0,2,2,172.42,JOD
518672278-2,R,1,1,2,0,152.03,Euro
637431291-0,JAVA,0,2,2,1,290.12,JOD
058936890-7,C++,0,2,1,1,154.33,USD
666667989-X,c++,0,1,1,1,205.73,USD
472175479-5,R,1,1,1,2,385.21,Euro
173547425-8,PYTHON,1,1,2,1,129.49,Euro
653960372-X,PYTHON,0,1,0,0,354.08,USD
601861249-6,JAVA,0,2,2,1,218.16,USD
233205571-1,java,2,0,2,0,221.49,Euro
686426810-1,JAVA,2,2,1,1,477.92,USD
723440637-9,c++,0,2,0,1,179.94,Euro
221265924-5,PYTHON,0,1,1,0,463.83,JOD
220238175-9,PYTHON,1,1,0,2,467.43,USD
356933142-3,JAVA,2,2,0,0,343.25,JOD
263375809-6,java,1,2,1,1,216.90,USD
121923292-0,PYTHON,2,2,2,1,171.65,Euro
853921538-1,R,0,,0,1,362.32,Euro
759227933-9,R,1,1,1,0,217.61,JOD
217937807-6,java,1,1,2,2,284.69,USD
734911240-8,,1,0,2,2,219.75,USD
764028782-0,C++,0,0,0,1,427.65,JOD
686940099-7,c++,1,0,2,2,337.58,JOD
814686389-2,R,2,1,1,2,335.40,Euro
355321832-0,C++,2,0,0,2,359.89,Euro
703042375-5,R,1,0,0,0,296.01,USD
569450454-2,JAVA,0,0,0,2,216.24,USD
500224701-6,R,1,1,2,0,280.25,JOD
748062614-2,C++,2,2,1,2,251.90,Euro
964566604-X,c++,2,2,0,0,350.93,USD
255459405-8,c++,0,2,2,0,308.68,Euro
504300298-0,JAVA,0,1,0,1,389.92,JOD
256693681-1,Python,1,0,1,2,117.85,JOD
910146268-7,Python,2,1,2,2,440.30,Euro
065657481-X,C++,2,1,1,1,301.15,USD
504291761-6,Python,0,1,2,2,368.10,USD
578057452-9,PYTHON,2,0,1,2,329.35,JOD
608910481-7,java,1,1,0,2,432.73,Euro
276784004-8,c++,0,2,1,2,375.41,Euro
103529747-7,java,1,0,0,1,373.53,USD
985637796-X,JAVA,2,1,1,1,239.62,USD
644989423-7,C++,0,1,0,2,385.71,USD
546832489-X,PYTHON,0,0,2,1,205.00,JOD
303254428-9,java,0,0,1,0,350.40,Euro
467024068-4,JAVA,1,0,2,0,491.31,USD
050535988-X,java,1,0,2,2,475.38,Euro
400768647-5,PYTHON,0,1,2,0,283.36,JOD
176312066-X,PYTHON,2,2,2,0,160.52,Euro
330156062-8,java,2,0,2,0,371.33,USD
934007980-9,C++,0,2,2,0,267.32,JOD
482260416-0,c++,0,0,2,2,125.64,USD
692701175-7,R,0,0,1,0,164.35,JOD
424456843-3,JAVA,1,2,0,2,433.02,JOD
401703411-X,java,0,2,2,2,249.16,Euro
262864767-2,C++,2,2,2,0,217.97,USD
426575516-X,c++,1,1,2,0,451.78,JOD
609997242-0,c++,0,2,2,0,474.82,USD
048549073-0,PYTHON,1,0,2,2,208.80,USD
309355769-0,PYTHON,1,1,1,2,370.54,JOD
044720902-7,Python,2,1,0,0,118.80,USD
025234362-X,JAVA,0,2,0,1,105.55,JOD
926423597-3,c++,0,2,0,0,344.99,Euro
674249459-X,Python,0,2,0,0,257.55,Euro
655787606-6,java,0,1,0,1,127.23,USD
794576267-0,PYTHON,0,0,2,1,174.20,JOD
888923837-2,JAVA,1,0,2,1,360.35,JOD
063259792-5,JAVA,2,1,0,0,402.21,JOD
391793901-0,C++,2,2,1,2,283.54,Euro
663185448-2,C++,2,2,1,2,444.77,JOD
710322184-7,C++,2,1,0,0,182.63,Euro
062392491-9,Python,2,0,0,0,203.94,Euro
089930514-8,C++,1,2,2,2,236.67,Euro
973516289-X,PYTHON,1,1,1,1,405.91,USD
497008799-7,java,0,1,0,2,364.83,USD
756602660-7,C++,0,1,2,1,408.24,Euro
037950519-3,JAVA,2,0,0,2,232.08,JOD
585298621-6,,1,2,0,0,195.72,Euro
707736103-9,c++,2,1,1,1,261.01,JOD
482364469-7,PYTHON,0,0,0,2,188.29,USD
360127902-9,JAVA,2,2,0,1,200.10,Euro
905651277-3,c++,2,2,1,0,405.79,Euro
116363707-6,c++,2,1,0,0,458.92,Euro
965212726-4,C++,1,1,0,0,141.94,USD
868535493-5,PYTHON,1,,2,0,431.70,USD
259011591-1,R,0,1,0,1,141.93,USD
457653875-6,JAVA,0,0,1,0,224.36,USD
863212435-8,Python,1,0,0,1,425.79,JOD
073531178-1,Python,0,0,2,1,462.51,JOD
423405178-0,JAVA,1,0,2,1,353.05,Euro
882042998-5,Python,1,2,1,0,404.43,USD
553889440-1,java,0,1,2,0,285.95,JOD
518505967-2,c++,0,2,2,0,256.03,USD
219947804-1,R,2,2,2,1,488.41,USD
733051017-3,java,2,2,2,2,168.58,JOD
359366118-7,c++,2,2,2,0,239.11,JOD
963343210-3,JAVA,1,1,1,2,191.20,JOD
743992924-1,java,0,1,1,2,460.09,JOD
107038464-X,Python,1,2,0,2,272.43,Euro
625298846-4,JAVA,2,2,1,2,441.99,JOD
188590962-4,JAVA,2,1,1,1,257.31,Euro
151999920-8,JAVA,1,0,1,1,333.41,USD
755787858-2,c++,2,1,1,0,342.61,JOD
302407502-X,,1,2,1,2,213.38,JOD
148767778-2,java,0,2,1,1,350.22,USD
350129324-0,C++,1,2,1,2,495.94,USD
495367425-1,c++,2,0,0,0,154.91,USD
890220773-0,Python,1,1,0,1,186.91,USD
622683995-3,Python,1,0,0,0,118.87,Euro
558724693-0,PYTHON,2,0,2,1,374.30,USD
797233333-5,C++,0,1,2,1,341.25,Euro
729278859-9,Python,0,2,2,2,482.18,USD
289888451-0,C++,1,0,1,2,222.78,JOD
134414547-7,R,2,,1,1,188.97,USD
141978568-0,java,2,1,1,2,303.61,JOD
954126483-2,C++,1,0,2,1,102.89,JOD
276366055-X,c++,2,2,1,2,361.68,JOD
129341657-6,Python,2,0,0,2,472.57,USD
837385792-3,PYTHON,2,2,1,1,277.45,Euro
333697806-8,C++,1,2,2,1,239.64,JOD
734033804-7,R,2,0,0,1,102.11,JOD
238567776-8,JAVA,2,0,1,2,410.39,Euro
081613096-5,JAVA,2,2,2,1,156.33,Euro
192156625-6,Python,1,,2,2,107.85,Euro
075140823-9,java,2,2,1,1,376.29,JOD
718283728-5,JAVA,1,2,2,1,309.47,JOD
977250072-8,PYTHON,0,0,1,0,254.48,Euro
981954828-4,R,0,0,0,2,292.80,JOD
243182022-X,JAVA,2,2,1,1,315.58,Euro
303247040-4,JAVA,0,0,0,0,468.46,JOD
519516279-4,PYTHON,2,2,1,1,487.43,Euro
092470475-6,c++,2,0,2,1,205.77,Euro
848966257-6,JAVA,2,0,0,0,351.14,Euro
866431128-5,R,2,1,0,0,373.41,USD
279449350-7,R,2,1,2,2,258.56,USD
281006477-6,Python,0,0,1,2,471.37,Euro
732854423-6,C++,1,1,0,2,444.76,Euro
398329306-9,R,0,2,1,1,190.97,USD
001472160-0,R,0,0,1,2,360.78,Euro
284401281-7,PYTHON,1,1,0,1,113.21,JOD
530354140-1,JAVA,2,1,1,1,294.82,Euro
293807554-5,c++,2,1,1,2,129.94,USD
960546700-3,Python,1,0,1,2,233.19,USD
549885605-9,JAVA,1,0,2,2,230.19,JOD
681104225-7,R,2,2,0,2,337.59,Euro
702887333-1,R,0,,2,1,193.76,USD
235867603-9,c++,0,2,1,1,202.70,Euro
178426620-5,Python,2,0,2,2,419.73,Euro
246084261-9,PYTHON,1,2,1,1,279.71,JOD
027102938-2,PYTHON,2,,2,1,494.04,USD
627112072-5,PYTHON,1,1,2,1,484.81,Euro
